"","D","L","S","CKMR","SelfP","Type","Value","response"
"1",3,"3",8,"Yes","Yes","Nfad_2015","SE",5879.5
"2",3,"3",8,"No","Yes","Nfad_2015","SE",15958.38
"3",3,"3",8,"Yes","Yes","Nfad_2020","SE",7405.52
"4",3,"3",8,"No","Yes","Nfad_2020","SE",13017.29
"5",3,"3",8,"Yes","Yes","Nfad_2025","SE",10247.68
"6",3,"3",8,"No","Yes","Nfad_2025","SE",16459.14
"7",3,"3",8,"Yes","Yes","fadsurv","SE",0.01
"8",3,"3",8,"No","Yes","fadsurv","SE",0.02
"9",3,"3",8,"Yes","Yes","fjusurv","SE",0.03
"10",3,"3",8,"No","Yes","fjusurv","SE",0.04
"11",3,"3",8,"Yes","Yes","ppn_breedy","SE",0.02
"12",3,"3",8,"No","Yes","ppn_breedy","SE",0.23
"13",3,"3",8,"Yes","Yes","rel_ad_15_25","SE",0.07
"14",3,"3",8,"No","Yes","rel_ad_15_25","SE",0.18
